"first_mode","second_mode","third_mode","fourth_mode","fifth_mode","sixth_mode","n","share"
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,3,0
"Other","BRT",NA,NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,5,0
"Other",NA,NA,NA,NA,NA,4,0
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,3,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,5,0
"Other","Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)",NA,NA,2,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,2,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,5,0
"Other",NA,NA,NA,NA,NA,1,0
"BRT",NA,NA,NA,NA,NA,1,0
"BRT","Other transit mode (b.Not SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other",NA,NA,NA,NA,NA,1,0
"Other transit mode (a.SITP)",NA,NA,NA,NA,NA,2,0
"Other transit mode (b.Not SITP)",NA,NA,NA,NA,NA,3,0
